Liste aller offiziellen und inoffiziellen Ports:

0 	– 	UDP 	reserviert 	offiziell
1970 	TCP 	UDP 	Netop Business Solutions Netop Remote Control 	offiziell
1971 	TCP 	UDP 	Netop Business Solutions Netop School 	offiziell
1972 	TCP 	UDP 	InterSystems Caché 	offiziell
1975–1977 	– 	UDP 	Cisco TCO 	offiziell
1984 	TCP 	– 	Big Brother System- und Netzwerkmonitor 	offiziell
1985 	– 	UDP 	Cisco HSRP 	offiziell
1994 	TCP 	UDP 	Cisco STUN-SDLC (Serial Tunneling – Synchronous Data Link Control) protocol 	offiziell
1997 	TCP 	– 	Chizmo Networks Transfer Tool 	inoffiziell
1998 	TCP 	UDP 	Cisco X.25 over TCP (XOT) 	offiziell
2000 	TCP 	UDP 	Cisco SCCP (Skinny) 	offiziell
2001 	– 	UDP 	CAPTAN Test Stand System 	inoffiziell
2002 	TCP 	– 	Secure Access Control Server (ACS) for Windows 	inoffiziell
2008 	TCP 	– 	TeamSpeak 3 Accounting 	inoffiziell
2010 	– 	UDP 	TeamSpeak 3 Webliste 	inoffiziell
2030 	– 	– 	Oracle Services for Microsoft Transaction Server 	inoffiziell
2031 	TCP 	UDP 	mobrien-chat 	offiziell
2041 	TCP 	– 	Mail.Ru Agent communication protocol 	inoffiziell
2049 	TCP 	UDP 	Network File System (Ab NFSv4 nur noch TCP und nur noch 2049) 	offiziell
2049 	– 	UDP 	shilp 	offiziell
2053 	– 	UDP 	lot105-ds-upd Lot105 DSuper Updates 	offiziell
2053 	TCP 	– 	lot105-ds-upd Lot105 DSuper Updates 	offiziell
2053 	TCP 	– 	knetd Kerberos de-multiplexor 	inoffiziell
2056 	– 	UDP 	Civilization 4 multiplayer 	inoffiziell
2073 	TCP 	UDP 	DataReel Database 	offiziell
2074 	TCP 	UDP 	Vertel VMF SA (i. e. App.. SpeakFreely) 	offiziell
2082 	TCP 	– 	Infowave Mobility Server 	offiziell
2082 	TCP 	– 	CPanel default 	inoffiziell
2083 	TCP 	– 	Secure Radius Service (radsec) 	offiziell
2083 	TCP 	– 	CPanel default SSL 	inoffiziell
2086 	TCP 	– 	GNUnet 	offiziell
2086 	TCP 	– 	WebHost Manager default 	inoffiziell
2087 	TCP 	– 	WebHost Manager default SSL 	inoffiziell
2095 	TCP 	– 	CPanel Web mail 	inoffiziell
2096 	TCP 	– 	CPanel SSL Web mail 	inoffiziell
2100 	TCP 	– 	Warzone 2100 multiplayer 	inoffiziell
2101 	TCP 	– 	NTRIP 	inoffiziell
2102 	TCP 	UDP 	zephyr-srv Project Athena Zephyr Notification Service server 	offiziell
2103 	TCP 	UDP 	zephyr-clt Project Athena Zephyr Notification Service serv-hm connection 	offiziell
2104 	TCP 	UDP 	zephyr-hm Project Athena Zephyr Notification Service hostmanager 	offiziell
2105 	TCP 	UDP 	IBM MiniPay 	offiziell
2105 	TCP 	UDP 	eklogin Kerberos – Verschlüsselter Fernlogin (rlogin) 	inoffiziell
2105 	TCP 	UDP 	zephyr-hm-srv Project Athena Zephyr Notification Service hm-serv connection (should use port 2102) 	inoffiziell
2144 	TCP 	– 	Iron Mountain LiveVault Agent 	inoffiziell
2145 	TCP 	– 	Iron Mountain LiveVault Agent 	inoffiziell
2156 	– 	UDP 	Talari Reliable Protocol 	offiziell
2161 	TCP 	– 	APC Agent 	offiziell
2181 	TCP 	UDP 	EForward – Dokumenttransportsystem 	offiziell
2181 	TCP 		ZooKeeper Configuration Management und Service Discovery (management port) 	?
2190 	– 	UDP 	TiVoConnect Beacon 	inoffiziell
2200 	– 	UDP 	Tuxanci game server[37] 	inoffiziell
2210 	– 	UDP 	NOAAPORT Broadcast Network 	offiziell
2210 	TCP 	– 	NOAAPORT Broadcast Network 	offiziell
2210 	TCP 	– 	MikroTik Fernwartung für "The Dude" 	inoffiziell
2211 	– 	UDP 	EMWIN 	offiziell
2211 	TCP 	– 	EMWIN 	offiziell
2211 	TCP 	– 	MikroTik Sichere Fernwartung für "The Dude" 	inoffiziell
2212 	– 	UDP 	LeeCO POS Server Service 	offiziell
2212 	TCP 	– 	LeeCO POS Server Service 	offiziell
2212 	TCP 	– 	Port-A-Pour Remote WinBatch 	inoffiziell
2219 	TCP 	UDP 	NetIQ NCAP Protocol 	offiziell
2220 	TCP 	UDP 	NetIQ End2End 	offiziell
2221 	TCP 	– 	ESET Anti-virus updates 	inoffiziell
2222 	TCP 	– 	DirectAdmin default & ESET Remote Administration 	inoffiziell
2223 	– 	UDP 	Microsoft Office OS X – Anti-Piraterie-Software 	inoffiziell
2261 	TCP 	UDP 	CoMotion Master 	offiziell
2262 	TCP 	UDP 	CoMotion Backup 	offiziell
2281 	TCP 	– 	ArmA Procamaign Game API 	inoffiziell
2302 	– 	UDP 	ArmA Multiplayer 	inoffiziell
2302 	– 	UDP 	Halo: Kampf um die Zukunft Multiplayer 	inoffiziell
2303 	– 	UDP 	ArmA Multiplayer 	inoffiziell
2305 	– 	UDP 	ArmA Multiplayer 	inoffiziell
2323 	TCP 	UDP 	PLCFirewall Progress Group 	inoffiziell
2369 	TCP 	– 	Voreinstellung für BMC Software Control-M/Server – Configuration Agent, oft geändert während Installation 	offiziell
2370 	TCP 	– 	Voreinstellung für BMC Software Control-M/Server 	offiziell
2381 	TCP 	– 	HP Insight Manager Default für Webserver 	inoffiziell
2401 	TCP 	– 	CVS 	inoffiziell
2404 	TCP 	– 	IEC 60870-5 -104 	offiziell
2420 	– 	UDP 	Westell Remote Access 	offiziell
2427 	– 	UDP 	Cisco MGCP 	offiziell
2447 	TCP 	UDP 	ovwdb – OpenView Network Node Manager (NNM) daemon 	offiziell
2483 	TCP 	UDP 	Oracle Datenbank listening für unsichere Client-Verbindungen zum Listener, ersetzt Port 1521 	offiziell
2484 	TCP 	UDP 	Oracle Datenbank listening für SSL Client-Verbindungen zum Listener 	offiziell
2500 	TCP 	– 	THEÒSMESSENGER Listening für TheòsMessenger Client-Verbindungen 	offiziell
2501 	TCP 	– 	TheosNet-Admin Listening für TheòsMessenger Client-Verbindungen 	offiziell
2518 	TCP 	UDP 	Willy 	offiziell
2525 	TCP 	– 	SMTP alternate 	inoffiziell
2546 	TCP 	UDP 	EVault – Data Protection Services 	inoffiziell
2593 	TCP 	UDP 	RunUO – Ultima Online Server 	inoffiziell
2598 	TCP 	– 	Neues ICA – wenn Session Reliability aktiviert ist, dann ersetzt TCP Port 2598 Port 1494 	inoffiziell
2599 	TCP 	– 	SonicWALL Antispam Traffic zwischen RA und CC 	inoffiziell
2610 	TCP 	– 	Dark Ages 	inoffiziell
2612 	TCP 	UDP 	QPasa from MQSoftware 	offiziell
2638 	TCP 	– 	Sybase database listener 	inoffiziell
2700–2800 	TCP 	– 	KnowShowGo P2P 	offiziell
2710 	TCP 	– 	XBT Bittorrent Tracker 	inoffiziell
2710 	– 	UDP 	XBT Bittorrent Tracker experimental UDP tracker extension 	inoffiziell
2713 	TCP 	UDP 	Raven Trinity Broker Service 	offiziell
2714 	TCP 	UDP 	Raven Trinity Data Mover 	offiziell
2735 	TCP 	UDP 	NetIQ Monitor Console 	offiziell
2809 	TCP 	– 	corbaloc:iiop URL, in der CORBA 3.0.3 specification 	offiziell
2809 	TCP 	– 	IBM WebSphere Application Server (WAS) Bootstrap/rmi Voreinstellung 	inoffiziell
2809 	– 	UDP 	corbaloc:iiop URL, in der CORBA 3.0.3 specification. 	offiziell
2868 	TCP 	UDP 	Norman Proprietary Event Protocol NPEP 	offiziell
2869 	TCP 	UDP 	icslap 	offiziell
2888 	TCP 	UDP 	ZooKeeper Configuration Management und Service Discovery (leader connect) 	?
2944 	– 	UDP 	Megaco Text H.248 	inoffiziell
2945 	– 	UDP 	Megaco Binary (ASN.1) H.248 	inoffiziell
2947 	TCP 	– 	gpsd GPS daemon 	offiziell
2948 	TCP 	UDP 	WAP-push Multimedia Messaging Service (MMS) 	offiziell
2949 	TCP 	UDP 	WAP-pushsecure Multimedia Messaging Service (MMS) 	offiziell
2967 	TCP 	– 	Symantec AntiVirus Corporate Edition 	inoffiziell
3000 	TCP 	– 	Miralix License server 	inoffiziell
3000 	– 	UDP 	Distributed Interactive Simulation (DIS), modifiable default 	inoffiziell
3000 	TCP 	– 	Tarantula Testmanagement 	inoffiziell
3000 	TCP 	– 	Sartissohn Scan Control Service 	inoffiziell
3001 	TCP 	– 	Miralix Phone Monitor 	inoffiziell
3001 	TCP 	– 	Opsware server (Satellite) 	inoffiziell
3002 	TCP 	– 	Miralix CSTA 	inoffiziell
3003 	TCP 	– 	Miralix GreenBox API 	inoffiziell
3004 	TCP 	– 	Miralix InfoLink 	inoffiziell
3005 	TCP 	– 	Miralix TimeOut 	inoffiziell
3006 	TCP 	– 	Miralix SMS Client Connector 	inoffiziell
3007 	TCP 	– 	Miralix OM Server 	inoffiziell
3008 	TCP 	– 	Miralix Proxy 	inoffiziell
3017 	TCP 	– 	Miralix IVR and Voicemail 	inoffiziell
3025 	TCP 	– 	netpd.org 	inoffiziell
3030 	TCP 	UDP 	NetPanzer 	inoffiziell
3050 	TCP 	UDP 	gds_db (InterBase/Firebird) 	offiziell
3051 	TCP 	UDP 	Galaxy Server (Gateway Ticketing Systems) 	offiziell
3074 	TCP 	UDP 	Xbox Live und/oder Games for Windows - LIVE 	offiziell
3100 	TCP 	– 	HTTP TATSOFTs voreingestellter Listening-Port 	inoffiziell
3101 	TCP 	– 	BlackBerry Enterprise Server – Kommunikation mit der Cloud 	inoffiziell
3128 	TCP 	– 	HTTP genutzt von Web caches und Voreinstellung in Squid 	inoffiziell
3128 	TCP 	– 	HTTP Bei Tatsoft die Standard-Client-Verbindung 	inoffiziell
3225 	TCP 	UDP 	FCIP (Fiber Channel over Internet Protocol) 	offiziell
3233 	TCP 	UDP 	WhiskerControl research control protocol 	offiziell
3235 	TCP 	UDP 	Galaxy Network Service (Gateway Ticketing Systems) 	offiziell
3260 	TCP 	– 	iSCSI target 	offiziell
3268 	TCP 	UDP 	msft-gc, Microsoft Global Catalog 	offiziell
3269 	TCP 	UDP 	msft-gc-ssl, Microsoft Global Catalog over SSL (ähnlich wie Port 3268, LDAP over SSL) 	offiziell
3283 	TCP 	– 	Apple Remote Desktop reporting (offiziell NetAssistand) 	offiziell
3299 	TCP 	– 	SAP-Router (SAP R/3) 	inoffiziell
3300 	TCP 	UDP 	Debate Gopher backend database system 	inoffiziell
3305 	TCP 	UDP 	odette-ftp, Odette File Transfer Protocol (OFTP) 	offiziell
3306 	TCP 	UDP 	MySQL database system (auch für dessen Fork MariaDB verwendet) 	offiziell
3313 	TCP 	– 	Verisys – File Integrity Monitoring Software 	inoffiziell
3333 	TCP 	– 	Network Caller ID server 	inoffiziell
3384 	TCP 	UDP 	Cluster Management Services (TCP)/Hardware Management (UDP) 	offiziell
3386 	TCP 	UDP 	GPRS Tunneling Protocol 3GPP GSM/UMTS CDR logging protocol 	offiziell
3389 	TCP 	UDP 	Microsoft Terminal Server (RDP), offiziell registriert als Windows Based Terminal (WBT) – Link 	offiziell
3396 	TCP 	UDP 	Novell NDPS Printer Agent 	offiziell
3412 	TCP 	UDP 	xmlBlaster 	offiziell
3455 	TCP 	UDP 	[RSVP] Reservation Protocol 	offiziell
3423 	TCP 	– 	Xware xTrm Communication Protocol 	offiziell
3424 	TCP 	– 	Xware xTrm Communication Protocol over SSL 	offiziell
3478 	TCP 	UDP 	STUN 	offiziell
3483 	– 	UDP 	Slim Devices discovery protocol 	offiziell
3483 	TCP 	– 	Slim Devices SlimProto protocol 	offiziell
3516 	TCP 	UDP 	Smartcard Port 	offiziell
3527 	– 	UDP 	Microsoft Message Queuing 	offiziell
3532 	TCP 	UDP 	Raven Remote Management Control 	offiziell
3533 	TCP 	UDP 	Raven Remote Management Data 	offiziell
3535 	TCP 	– 	SMTP alternate 	inoffiziell
3537 	TCP 	UDP 	ni-visa-remote 	inoffiziell
3540 	– 	UDP 	Microsoft Peer Name Resolution Protocol (PNRP) 	offiziell
3544 	– 	UDP 	Teredo Tunneling 	offiziell
3605 	– 	UDP 	ComCam IO Port 	offiziell
3606 	TCP 	UDP 	Splitlock Server 	offiziell
3632 	TCP 	– 	distributed compiler 	offiziell
3671 	TCP 	UDP 	efcp - eFieldControl(EIBnet) KNX Association 	offiziell
3689 	TCP 	– 	Digital Audio Access Protocol (DAAP) – genutzt durch Apple iTunes und AirPort Express 	offiziell
3690 	TCP 	UDP 	Subversion 	offiziell
3702 	TCP 	UDP 	Web Services Dynamic Discovery (WS-Discovery), genutzt von verschiedenen Komponenten von Windows Vista 	offiziell
3723 	TCP 	UDP 	Viele Battle.net Blizzard Spiele (Diablo II, Warcraft 2, Warcraft III: Reign of Chaos, StarCraft) 	inoffiziell
3724 	– 	UDP 	World of Warcraft Online gaming MMORPG 	inoffiziell
3724 	TCP 	– 	World of Warcraft Online gaming MMORPG 	inoffiziell
3724 	TCP 	– 	Club Penguin Disney online game for kids - OFFLINE 	inoffiziell
3735 	TCP 	– 	pwdis - Passwortverteilung 	offiziell
3784 	TCP 	UDP 	Ventrilo VoIP 	inoffiziell
3785 	– 	UDP 	Ventrilo VoIP 	inoffiziell
3800 	TCP 	– 	HGG-Programme 	inoffiziell
3880 	TCP 	UDP 	IGRS 	offiziell
3868 	TCP 	SCTP 	Diameter base protocol (RFC 3588) 	offiziell
3872 	TCP 	– 	Oracle Management Remote Agent 	inoffiziell
3888 	TCP 	UDP 	ZooKeeper Configuration Management und Service Discovery (leader election) 	?
3899 	TCP 	– 	Remote Administrator 	inoffiziell
3900 	TCP 	– 	udt_os, IBM UniData UDT OS[38] 	offiziell
3945 	TCP 	UDP 	EMCADS service, ein Giritech-Produkt genutzt von G/On 	offiziell
3978 	TCP 	UDP 	OpenTTD (Master-Server und Content) 	inoffiziell
3979 	TCP 	UDP 	OpenTTD 	inoffiziell
3999 	TCP 	UDP 	Norman distributed scanning service 	offiziell
4000 	TCP 	UDP 	Diablo II 	inoffiziell
4001 	TCP 	– 	Microsoft Ants, Server2Go 	inoffiziell
4007 	TCP 	– 	PrintBuzzer – Monitoring-Server 	inoffiziell
4069 	– 	UDP 	Minger Email Address Verification Protocol[39] 	offiziell
4089 	TCP 	UDP 	OpenCORE Remote Control Service 	offiziell
4093 	TCP 	UDP 	PxPlus Client server interface ProvideX 	offiziell
4096 	TCP 	UDP 	Ascom Timeplex BRE (Bridge Relay Element) 	offiziell
4100 	– 	– 	WatchGuard Authentication Applet – default 	inoffiziell
4111 	TCP 	– 	Xgrid 	offiziell
4116 	TCP 	UDP 	Smartcard-TLS 	offiziell
4125 	TCP 	– 	Microsoft Remote Web Workplace Administration 	inoffiziell
4172 	TCP 	UDP 	Teradici PCoIP 	offiziell
4200 	TCP 	– 	Shell-in-a-Box 	inoffiziell
4201 	TCP 	– 	TinyMUD und ähnliche 	inoffiziell
4226 	TCP 	UDP 	Aleph One (game) 	inoffiziell
4224 	TCP 	– 	Cisco Audio Session Tunneling 	inoffiziell
4321 	TCP 	– 	Referral Whois (RWhois) Protocol[40] 	offiziell
4323 	– 	UDP 	Lincoln Electric’s ArcLink/XT 	inoffiziell
4433–4436 	TCP 	– 	Axence nVision 	inoffiziell
4500 	– 	UDP 	IPSec NAT Traversal (RFC 3947) 	offiziell
4534 	– 	UDP 	Armagetron Advanced Serverport 	inoffiziell
4567 	TCP 	– 	Sinatra Serverport im Entwicklungsmodus (HTTP) 	inoffiziell
4569 	– 	UDP 	Inter-Asterisk eXchange (IAX2) 	offiziell
4610–4640 	TCP 	– 	QualiSystems TestShell Suite Services 	inoffiziell
4662 	– 	UDP 	OrbitNet Message Service 	offiziell
4662 	TCP 	– 	OrbitNet Message Service 	offiziell
4662 	TCP 	– 	Oft von eMule genutzt 	inoffiziell
4664 	TCP 	– 	Google Desktop Search 	inoffiziell
4672 	– 	UDP 	eMule 	inoffiziell
4711 	TCP 	– 	McAfee Web Gateway 7 – Voreingestellter GUI Port HTTP 	inoffiziell
4711 	TCP 	– 	Fully Automatic Installation – Monitor-Server[41] 	inoffiziell
4712 	TCP 	– 	McAfee Web Gateway 7 – Voreingestellter GUI Port HTTPS 	inoffiziell
4728 	TCP 	– 	Computer Associates Desktop and Server Management (DMP)/Port Multiplexer[42] 	offiziell
4747 	TCP 	– 	Apprentice (Unterstützende Software für Magic: The Gathering) 	inoffiziell
4750 	TCP 	– 	BladeLogic Agent 	inoffiziell
4753 	TCP 	UDP 	SIMON (Service und Discovery) 	offiziell
4789 	– 	UDP 	Virtual Extensible LAN (VXLAN) 	offiziell
4840 	TCP 	UDP 	OPC UA Protocol für OPC Unified Architecture von OPC Foundation 	offiziell
4843 	TCP 	UDP 	OPC UA Protocol over TLS/SSL für OPC Unified Architecture von OPC Foundation 	offiziell
4847 	TCP 	UDP 	Web Fresh Communication, Quadrion Software & Odorless Entertainment 	offiziell
4894 	TCP 	UDP 	LysKOM Protocol A 	offiziell
4899 	TCP 	UDP 	Radmin 	offiziell
4949 	TCP 	– 	Munin Resource Monitoring Tool 	offiziell
4950 	TCP 	UDP 	Cylon Controls UC32 Communications Port 	offiziell
4982 	TCP 	UDP 	Solar Data Log 	inoffiziell
4993 	TCP 	UDP 	Home FTP Server Web Interface/Voreingestellter Port 	inoffiziell
5000 	TCP 	– 	commplex-main 	offiziell
5000 	TCP 	– 	UPnP 	inoffiziell
5000 	TCP 	– 	VTun – VPN Software 	inoffiziell
5000 	– 	UDP 	VTun – VPN Software 	inoffiziell
5000 	TCP 	– 	Synology HTTP WebUI (DSM) 	inoffiziell
5001 	TCP 	– 	commplex-link 	offiziell
5001 	TCP 	– 	Slingbox und Slingplayer 	inoffiziell
5001 	TCP 	– 	Iperf (Tool zur Messung von UDP-/TCP-Durchsatz von Netzwerken) 	inoffiziell
5001 	– 	UDP 	Iperf (Tool zur Messung von UDP-/TCP-Durchsatz von Netzwerken) 	inoffiziell
5001 	TCP 	– 	Synology HTTPS WebUI (DSM) 	inoffiziell
5002 	TCP 	– 	SOLICARD ARX[43] 	inoffiziell
5003 	TCP 	UDP 	FileMaker 	offiziell
5004 	TCP 	UDP (DCCP) 	RTP (Real-time Transport Protocol) Daten (RFC 3551, RFC 4571) 	offiziell
5005 	TCP 	UDP (DCCP) 	RTP (Real-time Transport Protocol) Kontrollprotokoll (RFC 3551, RFC 4571) 	offiziell
5029 	TCP 	– 	Sonic Robot Blast 2: Multiplayer 	inoffiziell
5031 	TCP 	UDP 	ISDN over Ethernet 	inoffiziell
5050 	TCP 	– 	Yahoo Messenger 	inoffiziell
5051 	TCP 	– 	ita-agent Symantec Intruder Alert[44] 	offiziell
5060 	TCP 	UDP 	Session Initiation Protocol (SIP) 	offiziell
5061 	TCP 	– 	Session Initiation Protocol (SIP) over TLS 	offiziell
5070 	TCP 	– 	Binary Floor Control Protocol (BFCP) 	inoffiziell
5080 	TCP 	– 	Agfeo TK-Suite Server 	inoffiziell
5081 	TCP 	– 	Agfeo TK-Suite Server 	inoffiziell
5082 	TCP 	UDP 	Qpur Communication Protocol 	offiziell
5083 	TCP 	UDP 	Qpur File Protocol 	offiziell
5084 	TCP 	UDP 	EPCglobal Low Level Reader Protocol (LLRP) 	offiziell
5085 	TCP 	UDP 	EPCglobal Low Level Reader Protocol (LLRP) over TLS 	offiziell
5093 	– 	UDP 	SafeNet, Inc. Sentinel LM, Sentinel RMS, License Manager, Client-to-Server 	offiziell
5099 	TCP 	UDP 	SafeNet, Inc. Sentinel LM, Sentinel RMS, License Manager, Server-to-Server 	offiziell
5104 	TCP 	– 	IBM Tivoli Framework NetCOOL/Impact[45] HTTP Service 	inoffiziell
5106 	TCP 	– 	A-Talk Common Connection 	inoffiziell
5107 	TCP 	– 	A-Talk Remote Server Connection 	inoffiziell
5108 	TCP 	– 	VPOP3 Mail Server Webmail 	inoffiziell
5109 	TCP 	UDP 	VPOP3 Mail Server Status 	inoffiziell
5110 	TCP 	– 	ProRat Server 	inoffiziell
5121 	TCP 	– 	Neverwinter Nights 	inoffiziell
5150 	TCP 	UDP 	ATMP Ascend Tunnel Management Protocol[46] 	offiziell
5150 	TCP 	UDP 	Malware Cerberus RAT 	inoffiziell
5151 	TCP 	– 	ESRI SDE Instance 	offiziell
5151 	– 	UDP 	ESRI SDE Remote Start 	offiziell
5154 	TCP 	UDP 	BZFlag 	offiziell
5176 	TCP 	– 	ConsoleWorks UI interface 	inoffiziell
5190 	TCP 	– 	ICQ und AOL Instant Messenger 	offiziell
5222 	TCP 	– 	Extensible Messaging and Presence Protocol (XMPP) Client Connection[47] 	offiziell
5223 	TCP 	– 	Extensible Messaging and Presence Protocol (XMPP) Client Connection over SSL 	inoffiziell
5246 	– 	UDP 	Control And Provisioning of Wireless Access Points (CAPWAP)/Kontrolle[48] 	offiziell
5247 	– 	UDP 	Control And Provisioning of Wireless Access Points (CAPWAP)/Daten[48] 	offiziell
5269 	TCP 	– 	Extensible Messaging and Presence Protocol (XMPP) Server Connection[47] 	offiziell
5298 	TCP 	UDP 	Extensible Messaging and Presence Protocol (XMPP) JEP-0174: Link-Local Messaging / XEP-0174: Serverless Messaging 	offiziell
5310-5315 	TCP 	UDP 	Ginever.net data communication port 	inoffiziell
5351 	TCP 	UDP 	NAT Port Mapping Protocol 	offiziell
5353 	– 	UDP 	Multicast DNS (mDNS) 	offiziell
5355 	TCP 	UDP 	LLMNR – Link-Local Multicast Name Resolution; erlaubt es Hosts, eine Namensauflösung für Geräte im selben LAN durchzuführen. (nur unter Windows Vista und Windows Server 2008) 	offiziell
5357 	TCP 	UDP 	Web Services for Devices (WSDAPI) (nur unter Windows Vista, Windows 7 und Windows Server 2008) 	inoffiziell
5358 	TCP 	UDP 	WSDAPI Anwendungen für einen sicheren Kanal (nur unter Windows Vista, Windows 7 und Windows Server 2008) 	inoffiziell
5402 	TCP 	UDP 	mftp, Stratacache OmniCast content delivery system MFTP Filesharing Protokoll 	offiziell
5405 	TCP 	UDP 	NetSupport Manager 	offiziell
5417 	TCP 	UDP 	SNS Agent 	offiziell
5421 	TCP 	UDP 	NetSupport Manager 	offiziell
5432 	TCP 	UDP 	PostgreSQL Datenbank 	offiziell
5433 	TCP 	– 	Bouwsoft Datei/Webserver 	inoffiziell
5445 	– 	UDP 	Cisco Unified Video Advantage 	inoffiziell
5450 	TCP 	UDP 	OSIsoft PI Server Client Access 	inoffiziell
5457 	TCP 	– 	OSIsoft PI Asset Framework Client Access 	inoffiziell
5458 	TCP 	– 	OSIsoft PI Notifications Client Access 	inoffiziell
5495 	TCP 	– 	Applix TM1 Admin server 	inoffiziell
5498 	TCP 	– 	Hotline/Serververbindung 	inoffiziell
5499 	– 	UDP 	Hotline/Serverauffindung 	inoffiziell
5500 	TCP 	– 	VNC 	inoffiziell
5501 	TCP 	– 	Hotline Dateiübertragung 	inoffiziell
5517 	TCP 	– 	Setiqueue Proxy-Client für SETI@home 	inoffiziell
5550 	TCP 	– 	Hewlett-Packard Data Protector 	inoffiziell
5555 	TCP 	– 	Freeciv, Hewlett-Packard Data Protector, McAfee EndPoint Encryption Database Server, SAP 	inoffiziell
5555 	TCP 	UDP 	Example for XCP on Ethernet 	inoffiziell
5556 	TCP 	UDP 	Freeciv 	offiziell
5591 	TCP 	– 	Tidal 	inoffiziell
5631 	TCP 	– 	pcANYWHEREdata, Symantec pcAnywhere (Version 7.52 und neuer)/Daten[49][50] 	offiziell
5632 	– 	UDP 	pcANYWHEREstat, Symantec pcAnywhere (Version 7.52 und neuer)/Status 	offiziell
5656 	TCP 	– 	IBM Sametime/P2P-Dateiübertragung 	inoffiziell
5665 	TCP 	– 	Icinga 	inoffiziell
5666 	TCP 	– 	NRPE (Nagios) 	inoffiziell
5667 	TCP 	– 	NSCA (Nagios) 	inoffiziell
5672 	TCP 	– 	RabbitMQ (Pivotal Software) 	inoffiziell
5678 	– 	UDP 	Mikrotik RouterOS Neighbor Discovery Protocol (MNDP) 	inoffiziell
5721 	TCP 	UDP 	Kaseya 	inoffiziell
5723 	TCP 	– 	Operations Manager 	inoffiziell
5800 	TCP 	– 	VNC Remote Desktop Protocol over HTTP 	inoffiziell
5814 	TCP 	UDP 	Hewlett-Packard Support Automation (HP OpenView Self-Healing Services) 	offiziell
5850 	TCP 	– 	COMIT SE (PCR) 	inoffiziell
5852 	TCP 	– 	Adeona client: Verbindung zu OpenDHT 	inoffiziell
5900 	TCP 	UDP 	Virtual Network Computing (VNC) (Apple Remote Desktop) 	offiziell
5912 	TCP 	– 	Tidal 	inoffiziell
5938 	TCP 	UDP 	TeamViewer[51] RDP 	inoffiziell
5982 	– 	UDP 	TightProjector 	inoffiziell
5984 	TCP 	UDP 	CouchDB/Server 	offiziell
5999 	TCP 	– 	CVSup[52] 	offiziell
6000 	TCP 	– 	X11 	offiziell
6001 	– 	UDP 	X11 	offiziell
6005 	TCP 	– 	BMC Software Control-M/Server 	offiziell
6005 	TCP 	– 	Camfrog 	inoffiziell
6050 	TCP 	– 	Brightstor Arcserve Backup 	inoffiziell
6050 	TCP 	– 	Nortel Software 	inoffiziell
6051 	TCP 	– 	Brightstor Arcserve Backup 	inoffiziell
6072 	TCP 	– 	iOperator Protocol Signal Port 	inoffiziell
6086 	TCP 	– 	PDTP 	offiziell
6100 	TCP 	– 	Vizrt System 	inoffiziell
6100 	TCP 	– 	Ventrilo/Authentikation 	offiziell
6101 	TCP 	– 	Backup Exec Agent Browser 	inoffiziell
6110 	TCP 	UDP 	softcm, HP Softbench CM 	offiziell
6111 	TCP 	UDP 	spc, HP Softbench Sub-Process Control 	offiziell
6112 	– 	UDP 	dtspcd 	offiziell
6112 	TCP 	– 	dtspcd 	offiziell
6112 	TCP 	– 	Blizzards Battle.net, ArenaNet, Relic 	inoffiziell
6112 	TCP 	– 	Club Penguin 	inoffiziell
6113 	TCP 	– 	Club Penguin 	inoffiziell
6129 	TCP 	– 	DameWare Remote Control 	offiziell
6257 	– 	UDP 	WinMX (siehe auch 6699) 	inoffiziell
6260 	TCP 	UDP 	planet M.U.L.E. 	inoffiziell
6262 	TCP 	– 	Sybase Advantage Database Server 	inoffiziell
6343 	– 	UDP 	SFlow, sFlow Trafficmonitoring 	offiziell
6346 	TCP 	UDP 	gnutella-svc, gnutella (FrostWire, LimeWire, Shareaza etc.) 	offiziell
6347 	TCP 	UDP 	gnutella-rtr, Gnutella 	offiziell
6350 	TCP 	UDP 	App Discovery and Access Protocol 	offiziell
6389 	TCP 	– 	EMC CLARiiON 	inoffiziell
6419 	TCP 	UDP 	Simple VDR Protocol 	offiziell
6432 	TCP 	– 	PgBouncer 	offiziell
6444 	TCP 	UDP 	Sun Grid Engine 	offiziell
6445 	TCP 	UDP 	Sun Grid Engine 	offiziell
6454 		UDP 	Art-Net (DMX) 	offiziell
6502 	TCP 	UDP 	Netop Business Solutions – NetOp Remote Control 	inoffiziell
6503 	– 	UDP 	Netop Business Solutions – NetOp School 	inoffiziell
6514 	TCP 	– 	Transport Layer Security (TLS) Transport Mapping for Syslog (RFC 5425) 	offiziell
6522 	TCP 	– 	Gobby 	inoffiziell
6523 	TCP 	– 	Gobby 	inoffiziell
6543 	– 	UDP 	Paradigm Research & Development Jetnet[53] default 	inoffiziell
6556 	TCP 	– 	CheckMK Agent[54] 	inoffiziell
6566 	TCP 	– 	SANE (Scanner Access Now Easy) – SANE network scanner daemon 	inoffiziell
6571 	– 	– 	Windows Live FolderShare client 	inoffiziell
6600 	TCP 	– 	Music Playing Daemon (MPD) 	inoffiziell
6619 	TCP 	UDP 	odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL 	offiziell
6626 	TCP 	UDP 	WAGO-Service-Protocol (wago-service) 	offiziell
6646 	– 	UDP 	McAfee Network Agent 	inoffiziell
6660–6664 	TCP 	– 	Internet Relay Chat (IRC) 	inoffiziell
